# Android SDK 34 - @RequiresPermission Annotations
# Total methods: 2085
# Format: class_name | method_name | permissions

android.accessibilityservice.AccessibilityService|dispatchGesture|android.permission.USE_FINGERPRINT
android.app.ActivityClient|isTopOfTask|android.permission.MANAGE_MEDIA_PROJECTION
android.app.ActivityTaskManager|clearLaunchParamsForPackages|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|detachNavigationBarFromApp|android.permission.CONTROL_REMOTE_APP_TRANSITION_ANIMATIONS
android.app.ActivityTaskManager|moveTaskToRootTask|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|removeAllVisibleRecentTasks|android.permission.REMOVE_TASKS
android.app.ActivityTaskManager|removeRootTasksInWindowingModes|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|removeRootTasksWithActivityTypes|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|removeTask|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|resizeTask|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|startSystemLockTaskMode|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|stopSystemLockTaskMode|android.permission.MANAGE_ACTIVITY_TASKS
android.app.ActivityTaskManager|updateLockTaskPackages|android.permission.UPDATE_LOCK_TASK_PACKAGES
android.app.AppOpsCollector|addHistoricalOps|android.permission.MANAGE_APPOPS
android.app.AppOpsCollector|clearHistory|android.permission.MANAGE_APPOPS
android.app.AppOpsCollector|getOpStrs|android.permission.GET_APP_OPS_STATS
android.app.AppOpsCollector|isOperationActive|android.permission.WATCH_APPOPS
android.app.AppOpsCollector|offsetHistory|android.permission.MANAGE_APPOPS
android.app.AppOpsCollector|rebootHistory|android.permission.MANAGE_APPOPS
android.app.AppOpsCollector|resetHistoryParameters|android.permission.MANAGE_APPOPS
android.app.AppOpsCollector|setHistoryParameters|android.permission.MANAGE_APPOPS
android.app.AppTask|addHomeVisibilityListener|android.permission.SET_ACTIVITY_WATCHER
android.app.AppTask|forceDelayBroadcastDelivery|android.permission.DUMP
android.app.AppTask|getBackgroundRestrictionExemptionReason|android.permission.DEVICE_POWER
android.app.AppTask|isModernBroadcastQueueEnabled|android.permission.DUMP
android.app.AppTask|isProcessFrozen|android.permission.DUMP
android.app.AppTask|noteForegroundResourceUseBegin|android.permission.LOG_FOREGROUND_RESOURCE_USE
android.app.AppTask|noteForegroundResourceUseEnd|android.permission.LOG_FOREGROUND_RESOURCE_USE
android.app.AppTask|removeHomeVisibilityListener|android.permission.SET_ACTIVITY_WATCHER
android.app.AppTask|resetAppErrors|android.permission.RESET_APP_ERRORS
android.app.AppTask|waitForBroadcastIdle|android.permission.DUMP
android.app.BroadcastOptions|isInteractive|android.permission.BROADCAST_OPTION_INTERACTIVE
android.app.BroadcastOptions|recordResponseEventWhileInBackground|android.permission.ACCESS_BROADCAST_RESPONSE_STATS
android.app.BroadcastOptions|setBackgroundActivityStartsAllowed|android.permission.START_ACTIVITIES_FROM_BACKGROUND
android.app.BroadcastOptions|setTemporaryAppAllowlist|android.permission.START_FOREGROUND_SERVICES_FROM_BACKGROUND, android.permission.START_ACTIVITIES_FROM_BACKGROUND, android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.app.BroadcastOptions|setTemporaryAppWhitelistDuration|android.permission.START_FOREGROUND_SERVICES_FROM_BACKGROUND, android.permission.START_ACTIVITIES_FROM_BACKGROUND, android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.app.CallbackEntry|getVr2dDisplayId|android.permission.RESTRICTED_VR_ACCESS
