# Android 10 (API 29) - @RequiresPermission Annotations
# Total methods: 945
# Format: class_name | method_name | permissions

android.accessibilityservice.AccessibilityService|dispatchGesture|android.permission.USE_FINGERPRINT
android.accounts.GetAuthTokenByTypeAndFeaturesTask|finishSessionAsUser|android.permission.INTERACT_ACROSS_USERS_FULL
android.app.ActivityTaskManager|clearLaunchParamsForPackages|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|listAllStacks|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|moveTaskToStack|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|moveTopActivityToPinnedStack|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|removeAllVisibleRecentTasks|android.permission.REMOVE_TASKS
android.app.ActivityTaskManager|removeStacksInWindowingModes|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|removeStacksWithActivityTypes|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|resizeDockedStack|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|resizeStack|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|resizeStack|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|resizeTask|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|setDisplayToSingleTaskInstance|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|setTaskWindowingMode|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|setTaskWindowingModeSplitScreenPrimary|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|startSystemLockTaskMode|android.permission.MANAGE_ACTIVITY_STACKS
android.app.ActivityTaskManager|stopSystemLockTaskMode|android.permission.MANAGE_ACTIVITY_STACKS
android.app.BroadcastOptions|setBackgroundActivityStartsAllowed|android.permission.START_ACTIVITIES_FROM_BACKGROUND
android.app.BroadcastOptions|setTemporaryAppWhitelistDuration|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.app.CallbackEntry|getVr2dDisplayId|android.permission.RESTRICTED_VR_ACCESS
